Number of bedrooms,Number of bathrooms,Living area,Lot area,Average Room Size,Floor Area Ratio,Number of floors,Waterfront present,Average views number,Condition of the house,Built Year,House Age,Renovation Year,Was Renovated,Postal Code,Number of schools nearby,Distance from the airport,Price
2,1,1880,7560,940,0.25,1.0,0,0,3,1919,104,1919,No,122064,3,72,280000
3,2,1050,5850,350,0.18,1.0,0,0,3,1980,43,1980,No,122031,3,73,260000
4,1,1290,5000,322,0.26,1.5,0,0,3,1957,66,1957,No,122052,2,53,249950
3,2,1330,6000,443,0.22,1.0,0,0,4,1900,123,1900,No,122059,3,52,240000
3,2,1560,7352,520,0.21,1.0,0,0,3,1992,31,1992,No,122039,1,54,196440
3,3,1590,11745,530,0.14,1.0,0,0,3,1978,45,1978,No,122039,1,67,190000
2,2,1220,3568,610,0.34,1.5,0,0,4,1976,47,1976,No,122043,3,78,168000
3,3,2460,12028,820,0.2,2.0,0,0,3,1996,27,1996,No,122005,1,61,693000
4,3,2550,6256,637,0.41,2.0,0,0,3,1992,31,1992,No,122021,2,75,587000
5,3,2080,13189,416,0.16,2.0,0,0,3,1987,36,1987,No,122019,2,61,538888
3,3,1960,3480,653,0.56,2.0,0,0,3,2004,19,2004,No,122053,3,68,289950
5,3,3640,8239,728,0.44,2.0,0,3,3,1982,41,1982,No,122029,2,64,1600000
4,4,3480,7232,870,0.48,2.0,0,0,3,1926,97,2010,Yes,122054,1,80,1510000
4,2,2630,16475,657,0.16,2.0,0,0,4,1953,70,1953,No,122048,3,58,843500
4,2,2780,9900,695,0.28,2.0,0,0,4,1978,45,1978,No,122019,2,72,660000
3,2,1620,7330,540,0.22,1.0,0,0,4,1974,49,1974,No,122033,3,62,459000
1,1,750,4000,750,0.19,1.0,0,0,3,1918,105,1918,No,122016,3,67,250000
3,2,1790,12000,596,0.15,1.0,0,0,3,1960,63,1960,No,122043,1,54,243000
5,4,3160,13238,632,0.24,2.0,0,0,5,1972,51,1972,No,122057,1,74,1250000
3,3,2230,5750,743,0.39,2.0,0,0,3,2003,20,2003,No,122010,2,58,1040000
3,3,2730,5832,910,0.47,2.0,0,0,3,1998,25,1998,No,122049,3,58,1000000
3,2,1670,5400,556,0.31,2.0,0,0,5,1912,111,1912,No,122047,3,74,985000
4,3,2460,5000,615,0.49,2.0,0,0,5,1938,85,1938,No,122047,1,61,965000
4,3,3270,12880,817,0.25,2.0,0,0,3,2014,9,2014,No,122010,1,72,939000
4,3,4500,21780,1125,0.21,2.0,0,2,3,1980,43,1980,No,122057,2,64,870000
3,2,2160,6272,720,0.34,1.0,0,0,4,1960,63,1960,No,122006,3,54,820000
4,2,1840,4337,460,0.42,2.0,0,0,4,1917,106,1917,No,122047,2,73,809000
2,3,2210,6327,1105,0.35,1.0,0,0,3,2003,20,2003,No,122045,1,57,802000
4,2,2360,6000,590,0.39,1.0,0,0,5,1939,84,1939,No,122032,3,63,730000
4,3,3190,7869,797,0.41,2.0,0,2,3,2001,22,2001,No,122008,2,61,725995
3,2,1840,9990,613,0.18,2.0,0,0,5,1961,62,1961,No,122050,2,63,686000
3,3,2610,9002,870,0.29,2.0,0,0,3,1988,35,1988,No,122005,2,59,675000
4,3,2710,5500,677,0.49,2.0,0,0,3,1999,24,1999,No,122019,3,50,668500
4,3,2720,10000,680,0.27,2.0,0,0,3,1987,36,1987,No,122019,3,80,665000
4,3,1990,4600,497,0.43,1.5,0,2,4,1932,91,1932,No,122064,3,71,661000
3,3,2290,3475,763,0.66,2.0,0,0,3,2006,17,2006,No,122011,1,65,653000
4,3,2430,14400,607,0.17,1.0,0,0,5,1963,60,1963,No,122030,2,62,645000
3,3,1960,4166,653,0.47,1.0,0,0,4,1940,83,1940,No,122051,2,60,635000
3,2,1760,5000,586,0.35,1.0,0,0,5,1920,103,1920,No,122032,2,74,629000
4,3,2150,9070,537,0.24,2.0,0,0,4,1985,38,1985,No,122005,2,70,615000
4,3,2220,7064,555,0.31,2.0,0,0,3,1988,35,1988,No,122011,2,80,580000
3,3,2180,7519,726,0.29,1.0,0,0,4,1981,42,1981,No,122005,1,76,568500
3,3,2930,5569,976,0.53,1.0,0,0,3,2004,19,2004,No,122021,3,55,559900
3,2,1810,5040,603,0.36,1.5,0,0,3,1925,98,1925,No,122028,2,71,550000
3,3,1840,3035,613,0.61,1.0,0,0,3,1926,97,1926,No,122004,1,64,550000
3,2,1790,8203,596,0.22,1.5,0,1,3,1910,113,1910,No,122009,2,62,544000
4,2,1720,4240,430,0.41,1.5,0,0,4,1925,98,1925,No,122054,2,52,540000
3,3,1690,9626,563,0.18,2.0,0,0,3,1984,39,1984,No,122012,3,80,535000
4,3,2910,7631,727,0.38,2.0,0,2,3,2006,17,2006,No,122024,1,72,525000
3,2,1720,5525,573,0.31,1.0,0,2,5,1941,82,1941,No,122059,3,79,500000
3,2,2770,6250,923,0.44,1.0,0,0,4,1978,45,1978,No,122012,1,55,492000
3,2,1750,15500,583,0.11,1.0,0,0,3,1982,41,1982,No,122020,2,69,472500
3,1,950,4250,316,0.22,1.5,0,0,5,1948,75,1948,No,122044,3,73,469000
3,2,1890,7004,630,0.27,1.0,0,0,3,1965,58,1965,No,122051,1,67,465500
2,1,1170,6000,585,0.2,1.0,0,0,4,1941,82,1941,No,122028,1,68,455000
2,1,1140,5720,570,0.2,1.0,0,0,3,1947,76,1947,No,122006,2,62,455000
2,1,1110,6800,555,0.16,1.0,0,0,5,1947,76,1947,No,122038,3,65,440150
4,3,2340,11034,585,0.21,1.0,0,0,3,1967,56,1967,No,122014,2,77,440000
2,2,1410,12282,705,0.11,1.5,0,0,5,1909,114,1988,Yes,122036,3,78,439900
3,2,1120,6900,373,0.16,1.0,0,0,5,1956,67,1956,No,122030,3,64,439800
3,3,2240,6460,746,0.35,2.0,0,0,3,2002,21,2002,No,122008,3,65,432500
2,1,990,4802,495,0.21,1.0,0,0,3,1947,76,1947,No,122007,3,51,430000
4,3,2150,9915,537,0.22,1.0,0,0,5,1976,47,1976,No,122053,2,77,411000
4,2,1790,11875,447,0.15,1.0,0,0,4,1969,54,1969,No,122012,1,50,410000
2,2,1710,4234,855,0.4,2.0,0,0,3,1920,103,1979,Yes,122016,2,71,405000
3,2,2030,8880,676,0.23,1.0,0,0,3,1963,60,1963,No,122059,1,70,404000
1,1,730,3000,730,0.24,1.0,0,0,3,1911,112,1911,No,122026,1,51,395000
2,1,1210,4800,605,0.25,1.0,0,0,3,1950,73,1950,No,122059,3,79,380000
3,2,1510,8301,503,0.18,1.0,0,0,3,1967,56,1967,No,122033,2,79,366000
3,3,2680,7836,893,0.34,2.0,0,0,3,1990,33,2009,Yes,122023,3,61,350000
3,2,1990,5650,663,0.35,1.0,0,1,3,1963,60,1963,No,122063,3,78,345000
2,3,1175,1366,587,0.86,2.0,0,0,3,2005,18,2005,No,122028,1,79,342000
3,2,1320,13200,440,0.1,1.0,0,0,3,1970,53,1970,No,122015,2,61,327000
5,3,3020,21441,604,0.14,1.0,0,0,4,1978,45,1978,No,122035,2,75,320000
3,3,2130,8721,710,0.24,1.0,0,0,3,1987,36,1987,No,122067,3,50,316000
3,1,960,6634,320,0.14,1.0,0,0,3,1952,71,1952,No,122022,3,72,315000
2,2,1140,2980,570,0.38,2.0,0,0,3,1988,35,1988,No,122011,2,53,305000
3,1,950,13475,316,0.07,1.0,0,0,3,1950,73,1950,No,122014,3,65,305000
4,3,2070,7476,517,0.28,2.0,0,0,3,2003,20,2003,No,122023,1,62,300000
3,3,1950,3600,650,0.54,2.0,0,0,3,2010,13,2010,No,122024,1,54,298000
3,3,2080,4828,693,0.43,2.0,0,0,3,2002,21,2002,No,122035,1,73,290000
3,2,1380,4500,460,0.31,1.0,0,0,3,2008,15,2008,No,122024,3,80,275000
3,1,1450,8820,483,0.16,1.0,0,0,3,1958,65,1958,No,122056,3,74,274950
4,3,1920,8497,480,0.23,2.0,0,0,3,1998,25,1998,No,122023,2,66,270000
4,2,1850,7560,462,0.24,1.0,0,0,4,1978,45,1978,No,122066,2,60,250000
3,1,1010,7245,336,0.14,1.0,0,0,3,1969,54,1969,No,122040,1,53,199950
1,1,720,6000,720,0.12,1.0,0,0,3,1940,83,1940,No,122059,3,58,155000
4,4,2790,10125,697,0.28,1.5,0,0,5,1985,38,1985,No,122057,2,68,1300000
4,4,2930,3200,732,0.92,1.5,0,0,5,1925,98,1925,No,122003,2,62,1100000
4,2,2580,6000,645,0.43,1.0,0,0,5,1950,73,1950,No,122032,2,74,1100000
4,4,4130,12320,1032,0.34,2.0,0,0,3,2001,22,2001,No,122015,3,79,1070000
4,3,2290,5350,572,0.43,2.0,0,0,4,1958,65,1958,No,122032,1,70,975000
5,3,3040,10257,608,0.3,2.0,0,0,3,1993,30,1993,No,122027,1,74,960000
4,3,4590,9150,1147,0.5,2.0,0,0,3,1981,42,1981,No,122050,1,80,960000
5,4,3490,9680,698,0.36,2.0,0,4,3,1980,43,1980,No,122050,2,53,941500
4,3,2200,4000,550,0.55,2.0,0,0,5,1908,115,1908,No,122003,2,50,930000
2,3,2680,11214,1340,0.24,1.0,0,0,3,2006,17,2006,No,122045,2,75,930000
4,3,3720,12384,930,0.3,1.0,0,2,5,1970,53,1970,No,122020,2,55,875000
3,2,1370,3850,456,0.36,1.0,0,0,5,1911,112,1988,Yes,122047,1,73,850000
5,1,2550,4623,510,0.55,2.5,0,0,4,1905,118,1905,No,122044,1,71,847000
4,3,1550,4000,387,0.39,1.5,0,0,3,1930,93,1930,No,122004,1,52,835000
3,3,2080,10521,693,0.2,1.5,0,0,3,2004,19,2004,No,122033,2,56,830000
3,3,1840,3500,613,0.53,1.5,0,0,5,1910,113,1910,No,122044,3,77,785200
4,3,2870,12648,717,0.23,2.0,0,0,4,1986,37,1986,No,122011,3,73,720000
3,1,1030,4958,343,0.21,1.0,0,0,5,1952,71,1952,No,122004,3,57,718000
3,2,2050,9000,683,0.23,1.0,0,0,4,1951,72,1951,No,122057,2,54,713250
3,2,1660,8797,553,0.19,1.0,0,0,4,1956,67,1956,No,122048,1,62,712500
3,2,2140,4923,713,0.43,1.0,0,0,4,1928,95,1928,No,122028,2,60,710000
4,3,2961,12146,740,0.24,2.0,0,0,3,1998,25,1998,No,122020,1,53,695000
3,3,2390,9313,796,0.26,1.0,0,0,5,1942,81,1942,No,122038,2,73,689800
3,3,2290,2798,763,0.82,3.0,0,0,4,1953,70,1983,Yes,122013,1,70,660000
5,3,2550,5040,510,0.51,1.5,0,0,5,1902,121,1902,No,122044,2,61,650000
3,3,2370,11172,790,0.21,2.0,0,0,3,1993,30,1993,No,122053,2,67,640000
3,3,1350,3068,450,0.44,2.0,0,0,3,1991,32,1991,No,122044,2,63,613000
5,3,2070,12000,414,0.17,1.0,0,0,4,1967,56,1967,No,122029,1,58,613000
5,3,2740,5616,548,0.49,1.5,0,0,5,1925,98,1925,No,122006,2,73,605000
3,2,2060,4040,686,0.51,1.0,0,0,4,1947,76,1947,No,122028,2,61,605000
4,3,2620,9873,655,0.27,2.0,0,0,3,1987,36,1987,No,122020,2,80,600000
4,3,1960,14242,490,0.14,1.0,0,1,4,1958,65,1958,No,122052,1,64,600000
4,3,3150,5886,787,0.54,2.0,0,0,3,2014,9,2014,No,122015,1,63,580135
4,3,3120,7644,780,0.41,2.0,0,0,3,2010,13,2010,No,122008,3,51,575000
3,1,1300,6710,433,0.19,1.0,0,0,4,1952,71,1952,No,122057,1,57,571500
3,3,2090,12112,696,0.17,2.0,0,0,3,1983,40,1983,No,122005,3,55,562100
3,2,2000,10182,666,0.2,1.0,0,0,5,1963,60,1963,No,122010,2,54,560000
4,3,2170,9600,542,0.23,1.0,0,0,3,1980,43,1980,No,122005,3,55,550000
3,3,2110,11165,703,0.19,2.0,0,0,3,2001,22,2001,No,122021,1,80,548000
3,2,1810,3000,603,0.6,1.5,0,0,4,1903,120,1903,No,122026,1,63,545000
3,2,1250,6041,416,0.21,1.5,0,0,5,1942,81,1942,No,122006,1,73,530000
3,3,2190,4882,730,0.45,2.0,0,0,3,1999,24,1999,No,122014,3,67,503000
3,2,1620,4200,540,0.39,1.0,0,0,5,1945,78,1945,No,122006,2,50,500000
4,3,2220,8872,555,0.25,1.0,0,0,4,1961,62,1961,No,122027,1,55,495000
5,3,2670,3800,534,0.7,2.0,0,0,3,2014,9,2014,No,122015,3,64,494995
3,3,2600,7210,866,0.36,2.0,0,0,3,1989,34,1989,No,122015,2,72,475000
4,3,3030,9687,757,0.31,2.0,0,0,3,1998,25,1998,No,122025,1,61,471000
5,3,2040,7488,408,0.27,1.0,0,0,4,1969,54,1969,No,122033,3,50,449500
2,1,1230,6600,615,0.19,1.0,0,0,3,1906,117,1906,No,122051,2,74,440000
3,3,1970,4036,656,0.49,2.0,0,0,4,2003,20,2003,No,122008,1,73,432000
3,2,1360,5120,453,0.27,1.5,0,0,4,1924,99,1924,No,122009,2,58,430000
4,3,1790,7203,447,0.25,1.0,0,0,4,1973,50,1973,No,122014,2,64,430000
3,3,2340,5002,780,0.47,2.0,0,0,3,2013,10,2013,No,122025,3,78,427874
3,3,1660,6000,553,0.28,1.0,0,0,3,1979,44,1979,No,122044,1,63,425000
3,3,1870,9000,623,0.21,1.0,0,0,3,1978,45,1978,No,122017,2,68,425000
2,3,1140,1182,570,0.96,3.0,0,0,3,2007,16,2007,No,122026,1,57,425000
3,2,1660,9600,553,0.17,1.0,0,0,3,1981,42,1981,No,122017,3,68,420000
2,2,1370,5125,685,0.27,1.0,0,0,5,1944,79,1944,No,122028,3,80,409950
3,4,2780,4002,926,0.69,2.0,0,0,3,2009,14,2009,No,122055,1,68,402500
3,2,1200,4800,400,0.25,1.0,0,0,4,1962,61,1962,No,122030,1,55,400000
3,3,1450,4706,483,0.31,2.0,0,0,3,2009,14,2009,No,122058,2,57,400000
3,2,1080,7236,360,0.15,1.0,0,0,5,1947,76,1947,No,122022,2,75,390000
4,3,2240,3712,560,0.6,2.0,0,0,3,2014,9,2014,No,122024,3,50,363990
3,3,1950,8130,650,0.24,2.0,0,0,4,1990,33,1990,No,122035,1,76,328500
3,2,2250,26337,750,0.09,1.0,0,0,3,1980,43,1980,No,122023,2,58,325000
3,2,1880,10758,626,0.17,1.0,0,0,5,1952,71,1952,No,122015,3,71,320000
3,4,1530,1602,510,0.96,2.0,0,0,3,2013,10,2013,No,122034,2,62,320000
5,3,2090,4698,418,0.44,2.0,0,0,3,1998,25,1998,No,122024,2,54,315000
4,3,1830,5175,457,0.35,2.0,0,0,3,2003,20,2003,No,122024,2,79,312000
3,3,1540,5338,513,0.29,1.0,0,0,5,1954,69,1954,No,122006,3,76,312000
5,3,2481,4045,496,0.61,2.0,0,0,3,2014,9,2014,No,122039,2,51,309000
2,1,1170,10621,585,0.11,1.0,0,0,3,1963,60,1963,No,122025,1,79,295000
3,2,2880,18296,960,0.16,1.0,0,0,3,1958,65,1958,No,122056,3,62,285000
2,2,1480,15641,740,0.09,1.0,0,0,4,1940,83,1940,No,122052,2,61,280000
3,2,1590,27200,530,0.06,1.5,0,0,4,1926,97,1926,No,122024,1,69,280000
3,2,1410,7622,470,0.18,1.0,0,0,4,1983,40,1983,No,122046,2,63,272500
3,2,1970,10270,656,0.19,1.0,0,0,4,1966,57,1966,No,122066,1,66,268000
2,2,1220,5000,610,0.24,1.0,0,0,5,1921,102,1921,No,122042,2,52,253000
3,3,1765,7652,588,0.23,2.0,0,0,3,1996,27,1996,No,122040,3,55,250000
3,2,1340,16480,446,0.08,1.0,0,0,4,1968,55,1968,No,122035,2,73,239000
3,1,1040,6860,346,0.15,2.0,0,0,3,1942,81,1942,No,122052,2,62,239000
3,2,1530,8700,510,0.18,1.0,0,0,4,1970,53,1970,No,122042,3,73,235000
2,1,720,4840,360,0.15,1.0,0,0,4,1947,76,1947,No,122064,3,66,235000
3,1,1250,15603,416,0.08,1.0,0,0,4,1959,64,1959,No,122053,3,64,235000
2,1,940,5375,470,0.17,1.0,0,0,4,1952,71,1952,No,122043,3,56,234000
3,2,1440,5000,480,0.29,1.0,0,0,4,1942,81,2007,Yes,122053,2,75,230000
3,1,1200,9936,400,0.12,1.0,0,0,4,1969,54,1969,No,122024,1,65,225000
3,1,1030,9120,343,0.11,1.0,0,0,3,1961,62,1961,No,122066,3,50,223000
3,2,1200,9566,400,0.13,1.0,0,0,3,1995,28,1995,No,122039,3,68,222400
3,1,1110,7962,370,0.14,1.0,0,0,3,1962,61,1962,No,122052,3,76,210000
3,1,1060,9600,353,0.11,1.0,0,0,4,1962,61,1962,No,122018,3,80,206000
3,2,1180,9048,393,0.13,1.0,0,0,3,1960,63,1960,No,122060,2,65,193000
2,3,1240,2689,620,0.46,2.0,0,0,3,1986,37,1986,No,122040,3,68,174500
3,1,1320,8220,440,0.16,1.0,0,0,3,1959,64,1959,No,122043,2,77,150000
5,3,3200,17204,640,0.19,1.0,0,0,3,1952,71,1952,No,122048,3,64,1270000
5,4,3880,13885,776,0.28,2.0,0,3,4,1979,44,1979,No,122027,2,50,1130000
5,3,2660,8737,532,0.3,1.0,0,4,5,1969,54,1969,No,122027,1,52,1100000
3,2,2640,8000,880,0.33,1.0,0,3,4,1960,63,1960,No,122057,1,69,1030000
5,4,3280,4000,656,0.82,2.0,0,0,3,2003,20,2003,No,122007,3,63,989000
4,3,2770,8642,692,0.32,2.0,0,0,4,1987,36,1987,No,122030,1,51,907500
4,3,3790,10669,947,0.36,2.0,0,0,3,1999,24,1999,No,122020,2,50,875000
3,2,2090,5414,696,0.39,2.0,0,0,3,1947,76,2013,Yes,122032,3,56,865000
4,3,2700,9320,675,0.29,2.0,0,0,4,1994,29,1994,No,122010,1,72,837500
3,3,2430,5500,810,0.44,2.0,0,0,3,1989,34,1989,No,122010,2,62,791000
3,2,1670,9600,556,0.17,1.0,0,0,5,1961,62,1961,No,122057,1,63,785000
3,2,1630,7599,543,0.21,1.0,0,0,3,2006,17,2006,No,122007,3,69,767450
4,3,4410,5104,1102,0.86,2.0,0,0,3,2006,17,2006,No,122008,3,57,765000
3,2,1990,3990,663,0.5,1.0,0,0,5,1912,111,1912,No,122028,2,58,760500
4,3,3370,12447,842,0.27,2.0,0,0,3,1991,32,1991,No,122037,3,51,760000
3,3,2370,9619,790,0.25,1.0,0,0,4,1973,50,1973,No,122005,1,78,746000
4,3,3290,6203,822,0.53,2.0,0,0,3,2008,15,2008,No,122008,1,69,648000
4,3,2500,8500,625,0.29,1.0,0,0,4,1978,45,1978,No,122027,2,61,646000
4,4,2910,5260,727,0.55,2.0,0,0,3,2012,11,2012,No,122008,2,57,610000
4,3,4060,9734,1015,0.42,1.0,0,4,3,1977,46,1977,No,122058,3,66,603500
6,3,2630,16411,438,0.16,1.0,0,0,4,1974,49,1974,No,122005,2,68,583000
3,3,1830,7897,610,0.23,1.0,0,0,4,1986,37,1986,No,122005,1,69,572000
5,3,2650,11455,530,0.23,1.0,0,0,3,1961,62,1961,No,122029,3,54,565000
3,3,2070,12708,690,0.16,2.0,0,0,3,1996,27,1996,No,122053,1,76,560000
5,3,2730,17240,546,0.16,1.0,0,0,5,1958,65,1958,No,122058,1,75,545000
3,1,1050,4160,350,0.25,1.0,0,0,4,1925,98,1925,No,122006,1,72,540000
3,3,1710,2300,570,0.74,2.0,0,0,3,2005,18,2005,No,122005,3,74,539000
3,3,1820,4910,606,0.37,2.0,0,0,3,1993,30,1993,No,122011,3,74,532000
4,2,2020,7029,505,0.29,1.0,0,0,4,1979,44,1979,No,122005,3,73,532000
3,2,1540,7800,513,0.2,1.0,0,0,3,2004,19,2004,No,122022,3,64,525000
2,1,830,2820,415,0.29,1.0,0,0,4,1920,103,1920,No,122028,3,72,519000
5,3,2920,11440,584,0.26,2.0,0,0,3,2003,20,2003,No,122038,2,67,500000
3,3,1520,2208,506,0.69,2.0,0,0,3,2007,16,2007,No,122003,2,53,499950
3,2,1020,9072,340,0.11,1.0,0,0,3,1930,93,1930,No,122006,3,53,489000
3,2,1800,12669,600,0.14,1.0,0,0,3,1956,67,1990,Yes,122010,1,64,470000
3,1,910,4500,303,0.2,1.0,0,0,3,1948,75,1948,No,122007,2,66,465000
5,3,2300,23345,460,0.1,1.0,0,0,5,1967,56,1967,No,122015,3,60,453500
2,2,1500,6800,750,0.22,1.0,0,0,4,1942,81,1942,No,122007,3,80,437000
4,3,2460,5091,615,0.48,2.0,0,0,3,2003,20,2003,No,122046,1,53,427500
3,3,2060,4399,686,0.47,2.0,0,0,3,2007,16,2007,No,122008,1,66,418500
4,3,2000,5962,500,0.34,2.0,0,0,3,1999,24,1999,No,122038,1,73,415000
3,2,1840,5101,613,0.36,1.0,0,0,5,1952,71,1952,No,122059,1,77,411715
3,2,1530,10731,510,0.14,1.0,0,0,3,1986,37,1986,No,122058,3,77,400000
3,2,2260,11305,753,0.2,1.0,0,0,3,1986,37,1986,No,122042,3,65,400000
3,2,2080,5244,693,0.4,1.0,0,0,3,1959,64,1959,No,122022,2,70,399950
4,3,2150,7303,537,0.29,2.0,0,0,3,2005,18,2005,No,122053,3,50,392500
3,3,1250,7500,416,0.17,1.0,0,0,5,1942,81,1942,No,122052,3,50,390000
3,1,1240,11108,413,0.11,1.0,0,0,4,1952,71,1952,No,122031,2,54,390000
4,2,2200,7475,550,0.29,1.0,0,0,5,1955,68,1955,No,122051,3,68,375000
2,1,820,6250,410,0.13,1.0,0,0,4,1922,101,1922,No,122016,3,54,375000
3,2,1420,4500,473,0.32,1.0,0,0,3,1959,64,1959,No,122028,1,73,371000
2,1,1250,8100,625,0.15,1.0,0,0,4,1947,76,1947,No,122022,1,58,365000
4,3,2310,8030,577,0.29,2.0,0,0,3,1978,45,1978,No,122055,2,57,364950
2,2,1650,4000,825,0.41,1.0,0,0,4,1947,76,1947,No,122059,1,70,355000
3,2,2190,12626,730,0.17,2.0,0,0,4,1978,45,1978,No,122035,1,50,340000
4,3,2540,7210,635,0.35,1.0,0,0,4,1979,44,1979,No,122046,1,53,335000
3,1,1070,7140,356,0.15,1.0,0,0,3,1989,34,1989,No,122051,3,68,327500
4,2,1650,7800,412,0.21,1.0,0,0,3,1968,55,1968,No,122046,1,61,327500
3,1,1210,7440,403,0.16,1.0,0,0,3,1949,74,1949,No,122014,1,56,324950
3,2,1650,9380,550,0.18,1.0,0,0,5,1978,45,1978,No,122046,3,71,320000
3,1,1010,5400,336,0.19,1.0,0,0,3,1959,64,1959,No,122054,3,77,317000
3,2,1350,11150,450,0.12,1.0,0,0,3,1995,28,1995,No,122025,3,76,310000
1,1,560,12120,560,0.05,1.0,0,0,3,1967,56,1967,No,122041,2,61,299000
3,2,1730,11325,576,0.15,1.0,0,0,5,1972,51,1972,No,122067,1,71,292000
3,2,1670,7757,556,0.22,1.0,0,0,3,1992,31,1992,No,122065,1,62,289950
3,3,2437,5136,812,0.47,2.0,0,0,3,2011,12,2011,No,122072,1,79,285000
2,1,960,9253,480,0.1,1.0,0,0,3,1942,81,1942,No,122007,2,58,280000
3,3,1720,8755,573,0.2,1.0,0,0,3,1983,40,1983,No,122018,1,56,275000
2,1,770,8149,385,0.09,1.0,0,0,5,1948,75,1948,No,122014,3,54,275000
3,3,2080,4252,693,0.49,1.5,0,0,3,2003,20,2003,No,122035,1,55,270000
3,2,1710,7225,570,0.24,2.0,0,0,4,1988,35,1988,No,122018,2,74,250500
4,2,2120,8701,530,0.24,1.5,0,0,4,1960,63,1960,No,122043,2,80,250000
3,2,1460,10584,486,0.14,1.0,0,0,3,1997,26,1997,No,122056,2,62,240500
3,3,1500,7615,500,0.2,1.0,0,0,3,1984,39,1984,No,122018,3,71,219950
3,1,920,14400,306,0.06,1.0,0,0,4,1977,46,1977,No,122039,2,68,212500
3,2,2060,15837,686,0.13,1.5,0,0,3,1903,120,1903,No,122042,3,80,200000
5,2,1750,10284,350,0.17,1.0,0,0,4,1943,80,1943,No,122053,3,53,190000
2,1,670,2378,335,0.28,1.0,0,0,3,1919,104,1919,No,122064,3,54,175000
2,1,1500,18540,750,0.08,1.0,0,0,3,1950,73,1950,No,122056,2,68,170000
4,2,1720,7200,430,0.24,1.0,0,0,3,1974,49,1974,No,122018,1,69,161700
1,1,790,13062,790,0.06,1.0,0,0,3,1942,81,1942,No,122056,1,50,135000
1,1,650,15364,650,0.04,1.0,0,0,4,1967,56,1967,No,122035,2,75,129000
3,1,1170,11000,390,0.11,1.0,0,0,2,1980,43,1980,No,122055,2,52,119500
4,3,2980,8051,745,0.37,1.5,0,2,4,1935,88,1935,No,122032,1,52,1160000
5,5,5180,17811,1036,0.29,2.0,0,2,3,2001,22,2001,No,122008,2,74,1080000
4,2,2660,3900,665,0.68,1.5,0,0,4,1923,100,1923,No,122047,2,63,886000
3,4,3250,6000,1083,0.54,2.0,0,0,3,2001,22,2001,No,122016,2,74,875000
5,3,2920,5568,584,0.52,2.0,0,0,3,1906,117,1906,No,122047,1,52,875000
4,4,3500,8547,875,0.41,2.0,0,0,3,1994,29,1994,No,122027,2,79,799000
3,4,3590,6402,1196,0.56,2.0,0,0,3,1999,24,1999,No,122019,3,69,798000
4,3,2070,13084,517,0.16,1.0,0,0,4,1967,56,1967,No,122057,3,58,795000
3,3,2670,10338,890,0.26,2.0,0,0,3,1987,36,1987,No,122030,3,73,749000
4,3,2420,10962,605,0.22,1.0,0,0,3,1977,46,1977,No,122030,2,77,725000
3,2,1910,4800,636,0.4,1.0,0,0,3,1959,64,1959,No,122028,1,67,700000
3,3,2050,4185,683,0.49,2.0,0,0,3,2011,12,2011,No,122007,3,67,700000
3,3,2680,9750,893,0.27,1.0,0,0,4,1979,44,1979,No,122033,2,68,653000
3,2,1290,3870,430,0.33,1.0,0,0,5,1916,107,1916,No,122054,3,73,647500
3,2,2340,4206,780,0.56,1.0,0,0,5,1917,106,1917,No,122054,1,67,640000
4,3,2400,5350,600,0.45,1.5,0,0,4,1929,94,1929,No,122007,3,63,620000
4,2,1660,3800,415,0.44,1.5,0,0,3,1926,97,1926,No,122006,1,79,619000
4,2,1370,4000,342,0.34,2.0,0,0,3,1951,72,1994,Yes,122032,3,54,605004
3,3,1480,1485,493,1.0,2.0,0,0,3,2007,16,2007,No,122013,3,58,584000
3,3,2390,9966,796,0.24,1.0,0,0,5,1977,46,1977,No,122027,1,56,565000
3,2,1980,6250,660,0.32,1.0,0,1,5,1910,113,1910,No,122016,2,58,564000
4,3,2260,3713,565,0.61,2.0,0,0,3,2003,20,2003,No,122033,1,53,560000
4,3,2020,10720,505,0.19,1.0,0,0,4,1976,47,1976,No,122005,2,54,555000
4,3,2700,5150,675,0.52,2.0,0,0,3,2007,16,2007,No,122015,3,73,550000
3,3,1480,8381,493,0.18,1.0,0,0,4,1968,55,1968,No,122022,3,79,547000
2,1,970,3400,485,0.29,1.0,0,0,3,1924,99,1924,No,122061,2,61,546000
4,3,1330,8400,332,0.16,1.5,0,0,3,1962,61,1962,No,122049,3,56,540000
4,3,2210,7665,552,0.29,2.0,0,0,4,1968,55,1968,No,122027,2,52,530000
3,3,2370,12753,790,0.19,2.0,0,0,3,2001,22,2001,No,122055,1,51,499950
5,3,2440,4750,488,0.51,1.0,0,0,3,2006,17,2006,No,122059,3,61,495000
4,4,2810,10840,702,0.26,2.0,0,2,4,1994,29,1994,No,122025,2,79,492000
3,3,1480,14250,493,0.1,2.0,0,0,3,1996,27,1996,No,122010,2,57,466800
3,1,1430,3840,476,0.37,1.0,0,0,3,1945,78,1945,No,122007,3,75,466500
4,2,1670,9886,417,0.17,1.0,0,0,5,1947,76,1947,No,122022,2,75,456000
4,2,2000,6032,500,0.33,1.0,0,2,3,1959,64,1959,No,122052,1,64,453500
4,1,2000,4676,500,0.43,1.5,0,0,3,1916,107,1986,Yes,122051,1,56,450000
3,3,2170,4912,723,0.44,2.0,0,0,3,2003,20,2003,No,122058,2,58,449950
